Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?.1,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Average Salary,Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity
"62a33cf30a77c1a77f65baa2","anonymous","2022-10-06 00:00:00,000","1899-12-30 08:45:00,000","1899-12-30 00:02:31,000","Data Analyst","Yes","0-40k",20,"Other","Python",3,8,10,10,7,8,"Neither easy nor difficult","Better Salary","Male",32,"Other","","White or Caucasian"
"62a33e8bf8d5efcc22f7c79a","anonymous","2022-10-06 00:00:00,000","1899-12-30 08:52:00,000","1899-12-30 00:01:34,000","Data Analyst","No","86k-105k",95.5,"Healthcare","Other",6,7,7,7,7,4,"Very Easy","Better Salary","Male",43,"United States","","White or Caucasian"
"62a33f52bc6861bf3176c72c","anonymous","2022-10-06 00:00:00,000","1899-12-30 08:55:00,000","1899-12-30 00:01:33,000","Data Analyst","Yes","86k-105k",95.5,"Healthcare","Other",3,5,6,4,4,5,"Neither easy nor difficult","Better Salary","Male",29,"United States","","White or Caucasian"
"62a3406b575fa3a5ae88ae78","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:00:00,000","1899-12-30 00:01:25,000","Data Analyst","No","66k-85k",75.5,"Finance","Other",5,7,1,1,0,8,"Neither easy nor difficult","Better Salary","Male",32,"United States","","White or Caucasian"
"62a34272f8d5efcc22f7d15f","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:09:00,000","1899-12-30 00:01:09,000","Data Analyst","No","66k-85k",75.5,"Telecommunication","Python",4,6,4,5,4,4,"Neither easy nor difficult","Better Salary","Male",24,"United States","Masters","White or Caucasian"
"62a3452818134ddc75ce9e1b","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:20:00,000","1899-12-30 00:01:33,000","Data Analyst","Yes","106k-125k",115.5,"Other","Python",3,5,3,3,5,5,"Easy","Better Salary","Male",27,"Other","Masters","White or Caucasian"
"62a345490a77c1a77f65cc5b","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:21:00,000","1899-12-30 00:01:38,000","Data Analyst","Yes","41k-65k",53,"Education","R",3,6,5,4,3,4,"Neither easy nor difficult","Better Salary","Male",42,"United States","Associates","White or Caucasian"
"62a346a95d257a28a30d8cb9","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:27:00,000","1899-12-30 00:00:58,000","Data Analyst","No","66k-85k",75.5,"Other","Python",7,8,9,7,7,7,"Neither easy nor difficult","Better Salary","Male",25,"United States","Bachelors","White or Caucasian"
"62a34726f8d5efcc22f7dec7","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:29:00,000","1899-12-30 00:01:14,000","Data Analyst","No","66k-85k",75.5,"Tech","Python",3,4,2,1,0,4,"Neither easy nor difficult","Better Salary","Male",25,"United States","Bachelors","White or Caucasian"
"62a349160a77c1a77f65d4db","anonymous","2022-10-06 00:00:00,000","1899-12-30 09:37:00,000","1899-12-30 00:00:28,000","Data Analyst","Yes","66k-85k",75.5,"Other","Python",6,9,7,6,7,7,"Neither easy nor difficult","Better Salary","Male",28,"United States","Masters","White or Caucasian"
